player_id,player_role,emblem_colour,emblem_stat,average,stddev
10366616,Support,Blue,Camps Stacked,1101.885287878833,640.0443254631089
10366616,Support,Blue,Lotuses Grabbed,1257.5637645823103,957.600022373322
10366616,Support,Blue,Runes Grabbed,907.5799045038375,583.7024695931583
10366616,Support,Blue,Smokes Used,1560.5018242588994,1087.0279745017917
10366616,Support,Blue,Wards Placed,1644.5000252475984,802.1962613301391
10366616,Support,Blue,Watchers Taken,1477.1567148957492,944.8372755591507
10366616,Support,Green,Courier Kills,388.6539066674638,547.5725295917032
10366616,Support,Green,First Blood,125.87344402596116,491.71274339694816
10366616,Support,Green,Roshan Kills,63.754166918438976,232.35599258058508
10366616,Support,Green,Stuns,726.5242252224831,959.1231486307714
10366616,Support,Green,Teamfight Participation,1394.773681389155,239.5337653001014
10366616,Support,Green,Tormentor Kills,657.3944339696351,654.2208196966948
10366616,Support,Red,Creep Score,404.4868236491632,289.02575017096734
10366616,Support,Red,Deaths,845.8706563461736,838.5601678258236
10366616,Support,Red,GPM,782.8175110560504,184.18623236441172
10366616,Support,Red,Kills,441.617112514991,234.76601594125927
10366616,Support,Red,Neutral Tokens Found,241.4892220831193,383.00649968797023
10366616,Support,Red,Tower Kills,181.54547248948325,257.42904629050935
16497807,Support,Blue,Camps Stacked,1228.6189824907922,968.4690061654989
16497807,Support,Blue,Lotuses Grabbed,305.6390284146195,341.4123467766575
16497807,Support,Blue,Runes Grabbed,636.6197620023552,402.2425964003041
16497807,Support,Blue,Smokes Used,1135.2283013764452,700.8464568905914
16497807,Support,Blue,Wards Placed,1003.1735100823112,457.2188002596137
16497807,Support,Blue,Watchers Taken,957.9571844158256,477.7298853594434
16497807,Support,Green,Courier Kills,264.6163358645186,504.7851284091933
16497807,Support,Green,First Blood,212.75827939692272,622.3451653276242
16497807,Support,Green,Roshan Kills,92.19199783614948,335.53423835538774
16497807,Support,Green,Stuns,800.7579738059561,754.7751557707915
16497807,Support,Green,Teamfight Participation,1233.8310974005462,282.4213636037779
16497807,Support,Green,Tormentor Kills,282.5565011997204,500.0720901212425
16497807,Support,Red,Creep Score,303.4837079670653,162.2017247052635
16497807,Support,Red,Deaths,1224.1187232496898,819.1810505330582
16497807,Support,Red,GPM,718.9092575863871,129.32780006067605
16497807,Support,Red,Kills,447.9778109455635,273.04283269478805
16497807,Support,Red,Neutral Tokens Found,305.13251355921767,364.19798916886907
16497807,Support,Red,Tower Kills,75.82448486561242,142.930610835224
25907144,Support,Blue,Camps Stacked,561.5471643947841,541.2585540820419
25907144,Support,Blue,Lotuses Grabbed,640.3937693045191,883.435472147528
25907144,Support,Blue,Runes Grabbed,581.838360889639,386.3735909087341
25907144,Support,Blue,Smokes Used,1017.4780289209732,598.0463612679587
25907144,Support,Blue,Wards Placed,1081.060929716936,393.85227109505604
25907144,Support,Blue,Watchers Taken,717.0243073122248,383.68495895981107
25907144,Support,Green,Courier Kills,351.796351013863,621.7601973075795
25907144,Support,Green,First Blood,277.78574932881816,699.4963794577699
25907144,Support,Green,Roshan Kills,77.03815060015293,253.08995439503784
25907144,Support,Green,Stuns,1019.7928817103929,1275.7599017179696
25907144,Support,Green,Teamfight Participation,1249.0886420118513,281.1692035314403
25907144,Support,Green,Tormentor Kills,893.3198089306705,979.4494383477902
25907144,Support,Red,Creep Score,179.14400123143562,98.164740330001365
25907144,Support,Red,Deaths,930.2667942345412,897.8045319584525
25907144,Support,Red,GPM,598.1425194554577,96.48809693311786
25907144,Support,Red,Kills,327.7863572015732,223.64385565309004
25907144,Support,Red,Neutral Tokens Found,58.61251075399067,143.42847619685122
25907144,Support,Red,Tower Kills,73.56207435853788,188.7766948524819
54580962,Support,Blue,Camps Stacked,1044.5354265228566,623.5883135627965
54580962,Support,Blue,Lotuses Grabbed,915.8290989891193,972.2696080771661
54580962,Support,Blue,Runes Grabbed,459.8569448855374,195.93080965708694
54580962,Support,Blue,Smokes Used,945.4001560936159,643.1698800141987
54580962,Support,Blue,Wards Placed,1249.6393162622965,419.42280537027267
54580962,Support,Blue,Watchers Taken,834.4553284846554,560.0919625073606
54580962,Support,Green,Courier Kills,170.03482730623398,345.58131002049737
54580962,Support,Green,First Blood,223.9996030265035,638.6930829668606
54580962,Support,Green,Roshan Kills,23.814362178857206,145.43603486859587
54580962,Support,Green,Stuns,451.82561689483344,503.6009520676244
54580962,Support,Green,Teamfight Participation,1242.343048207137,205.2585710018091
54580962,Support,Green,Tormentor Kills,447.54696940768497,585.0203828532747
54580962,Support,Red,Creep Score,207.25410523412927,157.02023296634613
54580962,Support,Red,Deaths,1315.3426144740035,610.6570689225285
54580962,Support,Red,GPM,671.2624105687595,139.4348008822052
54580962,Support,Red,Kills,382.96040789131456,288.83055305123736
54580962,Support,Red,Neutral Tokens Found,220.73598578851318,445.7705257821076
54580962,Support,Red,Tower Kills,56.3955058599435,142.82161227300116
73562326,Core,Blue,Camps Stacked,284.0420379012973,343.8290023022391
73562326,Core,Blue,Lotuses Grabbed,273.5463692098009,349.13820221129794
73562326,Core,Blue,Runes Grabbed,445.37142618949576,323.33955363304125
73562326,Core,Blue,Smokes Used,2.729587334560298,32.923251191309426
73562326,Core,Blue,Wards Placed,17.136607670637567,59.271239855200406
73562326,Core,Blue,Watchers Taken,456.50498229936414,649.385216659975
73562326,Core,Green,Courier Kills,305.50308689535626,587.9593280092555
73562326,Core,Green,First Blood,195.3310732785903,601.2173398356284
