player_name,team_name,player_role,stat_1,stat_2,stat_3,stat_4,stat_5,prefix,suffix,average,stddev
Kiritych~,Virtus.pro,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Tormentor Kills,Green - Teamfight Participation,Dashing,of the Octopus,8628.323885388196,1753.6735650414892
Yatoro雨,Team Spirit,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Teamfight Participation,Green - Roshan Kills,Dashing,of the Octopus,8333.89934887499,1249.3166496066588
Mira,Team Spirit,Support,Blue - Lotuses Grabbed,Blue - Watchers Taken,Blue - Camps Stacked,Green - Stuns,Green - Teamfight Participation,Bestial,of the Octopus,8305.892587536862,2394.025623882676
K1 tqmD,nouns,Core,Red - Creep Score,Red - Deaths,Red - GPM,Green - Tormentor Kills,Green - Teamfight Participation,Dashing,of the Octopus,8301.851532025597,1855.0414829652811
Nightfall,BetBoom Team,Core,Red - Deaths,Red - Creep Score,Red - Neutral Tokens Found,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,8253.559084706376,1590.0968824179772
Lou,Azure Ray,Core,Red - GPM,Red - Deaths,Red - Creep Score,Green - Teamfight Participation,Green - Roshan Kills,Dashing,of the Octopus,8021.079209062939,2384.0690786271953
shiro,LGD Gaming,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,7949.09514044014,1488.701487597709
Nisha,Team Liquid,Mid,Red - Deaths,Red - GPM,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Otherworldly,of the Octopus,7761.131406913284,1273.7061298599044
天命,Azure Ray,Support,Blue - Wards Placed,Blue - Watchers Taken,Blue - Smokes Used,Green - Teamfight Participation,Green - Stuns,Crimson,of the Octopus,7756.786872128471,1482.9363657062804
squad1x,Virtus.pro,Mid,Red - Deaths,Red - GPM,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Hirsute,of the Octopus,7744.487668260743,1482.2687060997123
Boxi,Team Liquid,Support,Blue - Watchers Taken,Blue - Smokes Used,Blue - Wards Placed,Green - Teamfight Participation,Green - Stuns,Emerald,of the Octopus,7706.671335865303,1866.036793166997
gpk~,BetBoom Team,Mid,Red - Deaths,Red - Neutral Tokens Found,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Cerulean,of the Octopus,7671.021159474223,1491.3954263299763
Collapse,Team Spirit,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Stuns,Green - Teamfight Participation,Brawny,of the Octopus,7631.927346467773,1759.2293034984777
Miposhka,Team Spirit,Support,Blue - Wards Placed,Blue - Smokes Used,Blue - Watchers Taken,Green - Teamfight Participation,Green - Tormentor Kills,Emerald,of the Octopus,7613.311108306214,1505.2044659968294
NothingToSay,LGD Gaming,Mid,Red - Deaths,Red - GPM,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Crimson,of the Octopus,7585.775999129512,1496.5547412163573
Larl,Team Spirit,Mid,Red - Deaths,Red - GPM,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Otherworldly,of the Octopus,7524.6108682228505,1260.5201042278914
sayuw,Virtus.pro,Support,Blue - Smokes Used,Blue - Watchers Taken,Blue - Lotuses Grabbed,Green - Teamfight Participation,Green - Stuns,Emerald,of the Octopus,7475.234178506218,2249.18167685409
m1CKe,Team Liquid,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Teamfight Participation,Green - Roshan Kills,Dashing,of the Octopus,7441.48726879386,1218.5031471295747
Moo,nouns,Core,Red - Neutral Tokens Found,Red - Deaths,Red - GPM,Green - Stuns,Green - Teamfight Participation,Hirsute,of the Octopus,7428.999549436763,1872.7584653777121
Lelis,nouns,Support,Blue - Watchers Taken,Blue - Lotuses Grabbed,Blue - Camps Stacked,Green - Teamfight Participation,Green - Stuns,Bestial,of the Octopus,7364.322344519698,2466.9854676030895
Pure~,BetBoom Team,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Teamfight Participation,Green - Stuns,Brawny,of the Octopus,7331.429596034465,1192.3382906071838
