player_name,team_name,player_role,average,stddev
Kiritych~,Virtus.pro,Core,4640.126157413819,1183.2686668657493
Lou,Azure Ray,Core,4591.672320781339,1836.3720760852007
Nightfall,BetBoom Team,Core,4457.489988199496,699.4404602109043
K1 tqmD,nouns,Core,4428.852671164921,1343.7259654071943
Yatoro雨,Team Spirit,Core,4423.337773026331,597.752661203633
Pakazs,Evil Geniuses,Core,4297.721374424729,1117.5116641797636
shiro,LGD Gaming,Core,4290.175058604403,739.1400660176623
医者watson`,Entity,Core,4191.85942222552,792.0866981995356
23,Talon,Core,4177.375832074317,792.3467697049203
m1CKe,Team Liquid,Core,4134.345331361956,689.6878974070241
squad1x,Virtus.pro,Mid,4340.209073214973,820.5934723129035
Mikoto,Talon,Mid,4216.668146032931,773.8366444716451
Larl,Team Spirit,Mid,4214.730375833696,782.2370279484488
Abed,Shopify Rebellion,Mid,4202.852770267833,822.0379470144787
Nisha,Team Liquid,Mid,4148.293632943781,839.9030280352275
Oli~,Talon,Support,5397.79312594134,1032.329598189746
Sneyking,Tundra Esports,Support,4726.004768079315,1419.9888738913448
天命,Azure Ray,Support,4616.215196215425,811.0582952256703
Mira,Team Spirit,Support,4593.259360042135,1427.4048910416066
Kingrd,Vivo Keyd Stars,Support,4524.642383657971,1689.6232921888927
Miposhka,Team Spirit,Support,4459.889420087775,967.0840823137814
Whitemon,TSM,Support,4417.344235645915,1008.3328264055473
Antares,9Pandas,Support,4202.013646181373,1232.9401173424858
Yamsun,nouns,Support,4154.400492593766,1420.3170348003491
sayuw,Virtus.pro,Support,4150.713887749782,826.8515459229152
